IdLugarSalida,Lugar Salida,IdTranspSalidad,Transporte Internacional de Salida,FechaSalida,IdFecSalida,FechaEntrada,IdFecEntrada,IdNacionalidad,Pais,IdDeptoResidencia,Departamento,IdMotivo,Motivo,IdOcupacion,Ocupacion,IdNivelEstudio,Estudio,IdDestino,Destino,IdAlojamiento,Alojamiento,IdLugarIngreso,Lugar Ingreso,IdTranspIngreso,Transporte Internacional de Ingreso,IdTranspLocal,Trasporte Local,Estadia,Gente,GastoTotal,GastoAlojamiento,GastoAlimentacion,GastoTransporteInternac,GatoTransporteLocal,GastoCultural,GastoTours,GastoCompras,GastoResto,Coef,CoefTot
1,Colonia,5,Maritimo - Fluvial,2024-12-23,16428,2024-12-28,16433,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",27,Profesional dependiente,,,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,6,Otros,5,2,800.0,283.9,255.49,0.0,260.61,0.0,0.0,0.0,0.0,571.58,1143.17
3,Aeropuerto de Carrasco,1,Aereo,2018-01-27,13906,2018-02-24,13934,1,Uruguay,20,Canelones,6,Religion y Peregrinaciones,22,Religioso,4.0,Secundaria completa,31,Chile,11,Otros,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,28,1,300.0,0.0,253.25,0.0,46.75,0.0,0.0,0.0,0.0,170.97,170.97
10,Salto,2,Terrestre Auto,2017-02-25,13570,2017-03-09,13582,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,1,"Jubilado, Pensionista",5.0,Terciaria incompleta,30,Paraguay,6,Vivienda Familiares / Amigos,10,Salto,3,Terrestre Bus,0,Sin Datos,12,1,1486.0,0.0,480.0,260.0,0.0,150.0,0.0,100.0,756.0,100.29,100.29
8,Paysandú,2,Terrestre Auto,2024-05-15,16206,2024-05-22,16213,10,Argentina,21,Montevideo,1,"Ocio, Recreo, Vacaciones",11,"Patron, Com, Ind, Prod Agrop",,,10,Argentina,1,Hotel,8,Paysandú,2,Terrestre Auto,1,Auto propio,7,2,1000.0,263.13,239.32,0.0,251.13,88.49,0.0,157.93,0.0,59.57,119.14
13,Rivera,2,Terrestre Auto,2022-07-20,15541,2022-07-25,15546,1,Uruguay,53,Rivera,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,20,Brasil,1,Hotel,13,Rivera,2,Terrestre Auto,1,Auto propio,5,5,3221.49,973.47,851.79,0.0,486.74,243.37,0.0,560.29,105.84,60.84,304.22
7,Fray Bentos,2,Terrestre Auto,2024-08-17,16300,2024-08-23,16306,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",11,"Patron, Com, Ind, Prod Agrop",,,10,Argentina,30,Vivienda arrendada X plataforma,7,Fray Bentos,2,Terrestre Auto,1,Auto propio,6,2,1500.0,380.22,344.71,0.0,360.97,148.7,0.0,265.4,0.0,241.92,483.84
10,Salto,2,Terrestre Auto,2018-07-07,14067,2018-07-11,14071,1,Uruguay,51,Artigas,1,"Ocio, Recreo, Vacaciones",15,"Obrero esp, Conductor, Artesano",3.0,Secundaria incompleta,10,Argentina,12,"Cabañas, Bungalows",10,Salto,2,Terrestre Auto,1,Auto propio,4,4,570.0,200.0,200.0,0.0,35.0,22.85,0.0,37.17,74.98,213.42,853.67
7,Fray Bentos,3,Terrestre Bus,2017-03-08,13581,2017-03-13,13586,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,15,"Obrero esp, Conductor, Artesano",7.0,Otros,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,0,Sin Datos,5,3,1299.0,0.0,375.0,27.0,180.0,342.0,0.0,402.0,0.0,99.93,299.79
18,Río Branco,2,Terrestre Auto,2025-09-11,16690,2025-09-17,16696,1,Uruguay,52,Cerro Largo,1,"Ocio, Recreo, Vacaciones",25,Trabajador dependiente,,,20,Brasil,30,Vivienda arrendada X plataforma,18,Río Branco,2,Terrestre Auto,1,Auto propio,6,2,1200.0,420.0,202.81,0.0,87.49,237.96,0.0,200.0,51.74,154.96,309.93
3,Aeropuerto de Carrasco,1,Aereo,2017-09-03,13760,2017-09-10,13767,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,7,2,2290.0,1574.76,466.59,442.0,116.65,52.0,10.0,70.0,0.0,112.09,224.19
